Year,Level,Code,Income_avg,Income_median,Employed
2019,0,LV,997,758,920373
2019,1,LV003,864,697,108961
2019,1,LV005,759,611,107669
2019,1,LV006,1127,842,322880
2019,1,LV007,1104,819,185426
2019,1,LV008,860,713,85963
2019,1,LV009,910,739,109474
2019,3,0010000,1127,842,322880
2019,3,0050000,779,642,36633
2019,3,0090000,1002,801,28146
2019,3,0110000,841,688,10402
2019,3,0130000,1089,771,24512
2019,3,0170000,867,698,31297
2019,3,0210000,818,663,12823
2019,3,0250000,988,823,11771
2019,3,0270000,999,807,16317
2019,3,0320200,911,758,3906
2019,3,0321000,831,698,2219
2019,3,0321400,862,715,2191
2019,3,0326100,851,713,2364
2019,3,0327100,813,678,1354
2019,3,0328200,887,749,1484
2019,3,0360200,781,633,6115
2019,3,0360800,739,618,1359
2019,3,0380200,756,599,4947
2019,3,0381600,754,606,1722
2019,3,0384400,736,608,343
2019,3,0387500,676,544,813
2019,3,0400200,858,713,10877
2019,3,0406400,971,791,4084
2019,3,0407700,814,680,1454
2019,3,0409500,878,739,3617
2019,3,0420200,919,751,8143
2019,3,0421200,874,705,1535
2019,3,0424701,869,701,2277
2019,3,0425700,801,648,877
2019,3,0427300,873,738,3724
2019,3,0427500,859,689,1667
2019,3,0427700,795,663,1313
2019,3,0429300,803,650,1577
2019,3,0440200,725,594,7775
2019,3,0440801,746,572,2546
2019,3,0460200,918,758,9607
2019,3,0460800,815,670,2761
2019,3,0468900,856,700,1524
2019,3,0500200,810,681,9255
2019,3,0540200,870,714,10572
2019,3,0546701,1089,809,4842
2019,3,0560200,786,610,1754
2019,3,0560800,876,721,1068
2019,3,0561800,793,625,1468
2019,3,0566900,781,662,2281
2019,3,0568700,819,723,1499
2019,3,0600202,711,560,5403
2019,3,0601000,710,564,2370
2019,3,0604300,698,550,1144
2019,3,0620200,780,625,9977
2019,3,0621200,756,615,1855
2019,3,0624200,820,685,553
2019,3,0640600,798,630,3524
2019,3,0640801,820,658,1157
2019,3,0641000,896,748,3873
2019,3,0641401,870,641,1146
2019,3,0641600,764,636,2153
2019,3,0647900,900,676,1459
2019,3,0648500,740,566,570
2019,3,0649300,791,632,978
2019,3,0660200,851,703,7663
2019,3,0661000,784,667,1932
2019,3,0661400,869,717,3379
2019,3,0680200,751,605,4898
2019,3,0681000,716,582,2077
2019,3,0681801,631,511,1009
2019,3,0684901,711,574,942
2019,3,0700200,822,689,9886
2019,3,0700800,759,617,1062
2019,3,0701400,793,678,1016
2019,3,0701800,744,591,1257
2019,3,0705500,788,641,1141
2019,3,0740202,987,777,16157
2019,3,0740600,1360,980,4870
2019,3,0741001,960,756,2635
2019,3,0741401,928,752,4846
2019,3,0760202,800,664,3884
2019,3,0761201,806,606,4400
2019,3,0766300,696,564,1607
2019,3,0769101,689,530,584
2019,3,0780200,721,576,9578
2019,3,0781800,671,526,2171
2019,3,0800600,1065,802,2832
2019,3,0800800,1302,986,12381
2019,3,0801000,1018,862,10326
2019,3,0801200,1090,852,11762
2019,3,0801400,1093,824,3305
2019,3,0801601,1079,798,9204
2019,3,0801800,1008,791,3891
2019,3,0804400,1322,969,5882
2019,3,0804900,1392,952,5376
2019,3,0805200,1268,916,4732
2019,3,0806000,1470,954,4503
2019,3,0806900,918,736,2451
2019,3,0807400,955,845,1710
2019,3,0807600,1568,1068,9997
2019,3,0808400,1028,813,3464
2019,3,0809200,976,787,1068
2019,3,0809600,1228,919,5706
2019,3,0840200,850,699,10194
2019,3,0840601,866,719,2537
2019,3,0880200,830,676,12509
2019,3,0885100,812,673,1597
2019,3,0887600,782,594,634
2019,3,0888301,764,625,1618
2019,3,0900200,892,740,13279
2019,3,0901201,800,655,3331
2019,3,0905100,957,741,3225
2019,3,0905700,840,715,1007
2019,3,0940200,831,714,3314
2019,3,0941600,872,722,5772
2019,3,0941800,851,729,1254
2019,3,0960200,901,732,2832
2019,3,0961000,766,602,1229
2019,3,0961600,842,714,1982
2019,3,0964700,941,748,1406
2019,3,0967101,873,706,3395
2019,3,0967300,843,737,804
2019,3,0980200,869,707,5013
