Year,Level,Code,Total,Value_added,Value_prod
2017,0,LV,805538,12449617708.93,31583355928.83
2017,1,LV003,94056,1359755556.47,3585905548.41
2017,1,LV005,93257,970446766.00,2377292880.13
2017,1,LV006,286548,4957678600.61,12196192460.58
2017,1,LV007,159141,2670287236.35,6793201844.41
2017,1,LV008,73510,973482966.77,2576006461.16
2017,1,LV009,93354,1387597567.70,3660396540.75
2017,1,UNK,5677,130369015.03,394360193.39
2017,3,0010000,286548,4957678600.61,12196192460.58
2017,3,0050000,32273,354512470.84,861967869.17
2017,3,0090000,24571,389797699.34,972432430.36
2017,3,0110000,9063,118858691.94,321489630.72
2017,3,0130000,21163,341782248.14,825882990.69
2017,3,0170000,27303,393136918.00,966581278.08
2017,3,0210000,11277,134135656.02,332759658.20
2017,3,0250000,10318,157600375.74,400122866.98
2017,3,0270000,14574,274296836.75,701694317.67
2017,3,0320200,3434,66173655.71,179849023.64
2017,3,0321000,1830,27379210.34,83365894.03
2017,3,0321400,1863,27855002.57,67253344.16
2017,3,0326100,1891,27091709.72,72567261.56
2017,3,0327100,1169,12169195.50,32990309.62
2017,3,0328200,1273,17800968.24,46787213.30
2017,3,0360200,5358,56967137.51,141092965.83
2017,3,0360800,1186,12180853.99,34564125.01
2017,3,0380200,4218,36781834.22,84649607.15
2017,3,0381600,1424,10776782.80,27470395.13
2017,3,0384400,316,2339253.12,6239755.61
2017,3,0387500,669,6576547.39,14875808.65
2017,3,0400200,9139,123011960.61,333107725.30
2017,3,0406400,3540,62374293.37,167377447.51
2017,3,0407700,1156,12397995.95,32264203.12
2017,3,0409500,3078,39810771.88,108954236.04
2017,3,0420200,7133,98262803.73,245738056.59
2017,3,0421200,1286,16083954.35,44394541.00
2017,3,0424701,1824,26129407.88,70147243.40
2017,3,0425700,728,8770387.50,26054799.13
2017,3,0427300,3184,42654268.65,113108453.20
2017,3,0427500,1474,19050022.29,49058527.98
2017,3,0427700,1097,13432743.20,39311192.02
2017,3,0429300,1305,16499035.94,44283482.35
2017,3,0440200,6496,60086532.61,152018600.44
2017,3,0440801,2178,21504163.27,41808504.67
2017,3,0460200,8245,130216979.97,392932412.49
2017,3,0460800,2440,32388311.27,84877855.36
2017,3,0468900,1305,22548463.73,55721485.29
2017,3,0500200,7867,96958537.18,270369183.09
2017,3,0540200,8301,121520850.68,309234212.61
2017,3,0546701,4151,71834874.89,180175465.73
2017,3,0560200,1446,16346255.78,43982696.52
2017,3,0560800,959,10040883.45,22924926.18
2017,3,0561800,1242,13912991.69,33970213.10
2017,3,0566900,1919,27867446.75,76528567.27
2017,3,0568700,1339,16199354.32,41609986.84
2017,3,0600202,4760,43356059.73,113434737.13
2017,3,0601000,2060,13853891.41,32362044.82
2017,3,0604300,931,6021551.65,15818989.35
2017,3,0620200,8262,96091999.90,246762179.76
2017,3,0621200,1529,19899116.79,49638868.94
2017,3,0624200,491,6284224.84,16722530.68
2017,3,0640600,2923,35327716.17,91506052.27
2017,3,0640801,971,11310091.04,30547139.11
2017,3,0641000,3384,45736439.50,120690855.19
2017,3,0641401,980,12216766.12,38158664.04
2017,3,0641600,1844,19212703.04,54086187.93
2017,3,0647900,1258,16138506.82,47147367.66
2017,3,0648500,509,5689338.20,19261030.89
2017,3,0649300,827,9397878.59,27263478.88
2017,3,0660200,6370,81739116.06,207334551.27
2017,3,0661000,1554,18718584.53,48572129.72
2017,3,0661400,2934,39568926.43,97280846.42
2017,3,0680200,4131,34014035.20,81572315.29
2017,3,0681000,1736,13282397.81,32100421.57
2017,3,0681801,856,6567944.05,17908831.37
2017,3,0684901,763,4850900.86,10792725.07
2017,3,0700200,8456,111645655.84,289462319.19
2017,3,0700800,915,9510076.30,27677133.10
2017,3,0701400,903,14962710.00,35807356.87
2017,3,0701800,1070,11991479.25,33578490.27
2017,3,0705500,997,12176858.46,31992764.44
2017,3,0740202,14037,204789009.94,555708025.14
2017,3,0740600,4213,85692894.46,201923787.22
2017,3,0741001,2225,38971904.19,93503668.98
2017,3,0741401,4143,58529098.25,149567856.81
2017,3,0760202,3480,39190767.74,108148242.92
2017,3,0761201,3990,61501043.09,140557027.17
2017,3,0766300,1393,12662305.75,33941839.07
2017,3,0769101,445,3917712.74,11120544.43
2017,3,0780200,7982,83367040.82,209949440.94
2017,3,0781800,1879,21147874.88,47795521.98
2017,3,0800600,2275,34551808.63,95159116.78
2017,3,0800800,10566,191172829.81,521859295.30
2017,3,0801000,9012,155278194.87,387438010.58
2017,3,0801200,10206,195972961.33,472081003.84
2017,3,0801400,2389,35272510.74,88067527.45
2017,3,0801601,7420,121943027.41,310388703.62
2017,3,0801800,3342,62986868.24,172214895.21
2017,3,0804400,5118,96432142.07,233480664.15
2017,3,0804900,4604,85352877.42,222567448.28
2017,3,0805200,4113,75186605.32,181284381.45
2017,3,0806000,3807,94008034.60,221679251.59
2017,3,0806900,2095,31655383.88,83032429.75
2017,3,0807400,1461,22219889.36,58004613.04
2017,3,0807600,9602,207558976.26,556945882.43
2017,3,0808400,3017,45991908.67,117561101.83
2017,3,0809200,932,13832457.85,38443410.97
2017,3,0809600,4811,91973667.67,222477058.43
2017,3,0840200,8853,130928327.71,370085011.28
2017,3,0840601,2170,37520705.26,117939588.65
2017,3,0880200,10685,144194533.68,419021968.44
2017,3,0885100,1319,16799722.79,44719406.14
2017,3,0887600,548,6147192.52,15200756.93
2017,3,0888301,1339,15139226.98,38375696.30
2017,3,0900200,11374,156302035.32,412960559.01
2017,3,0901201,2834,33367248.30,90605940.30
2017,3,0905100,2675,36597337.82,93807698.54
2017,3,0905700,849,12838688.78,33368995.61
2017,3,0940200,2972,34105438.05,93016764.44
2017,3,0941600,4849,78909174.68,236930914.63
